state,year,state_rank,women_leg_pct
AL,2018,45,15.0
AL,2017,45,15.0
AL,2016,46,14.3
AL,2015,46,14.3
AL,2014,47,14.3
AL,2013,47,13.6
AL,2012,47,13.6
AL,2011,48,13.6
AL,2010,48,12.9
AL,2009,48,12.9
AL,2008,48,12.9
AL,2007,47,12.9
AL,2006,49,11.4
AL,2005,49,10.7
AL,2004,49,10.0
AL,2003,49,10.0
AL,2002,50,7.9
AL,2001,50,7.9
AL,2000,50,7.9
AL,1999,50,7.9
AL,1998,50,4.3
AL,1997,50,4.3
AL,1996,50,3.6
AL,1995,50,3.6
AL,1994,50,5.7
AL,1993,49,5.7
AL,1992,50,5.7
AL,1991,48,5.7
AL,1990,49,5.7
AL,1989,48,5.7
AL,1988,49,5.7
AL,1987,47,5.7
AL,1986,46,6.4
AL,1985,46,6.4
AL,1984,46,6.4
AL,1983,47,4.3
AL,1981,47,4.3
AL,1979,48,2.9
AL,1977,48,2.1
AL,1975,50,0.7
AK,2018,12,31.7
AK,2017,15,30.0
AK,2016,11,30.0
AK,2015,15,28.3
AK,2014,17,26.7
AK,2013,14,28.3
AK,2012,21,25.0
AK,2011,27,23.3
AK,2010,34,21.7
AK,2009,32,21.7
AK,2008,28,21.7
AK,2007,27,21.7
AK,2006,34,18.3
AK,2005,32,18.3
AK,2004,32,20.0
AK,2003,30,20.0
AK,2002,32,20.0
AK,2001,30,21.7
AK,2000,33,18.3
AK,1999,33,18.3
AK,1998,43,13.3
AK,1997,43,13.3
AK,1996,21,23.3
AK,1995,21,23.3
AK,1994,23,21.7
AK,1993,21,21.7
AK,1992,15,23.3
AK,1991,14,23.3
AK,1990,16,20.0
AK,1989,14,21.7
AK,1988,14,20.0
AK,1987,14,20.0
AK,1986,15,18.3
AK,1985,15,18.3
AK,1984,22,13.3
AK,1983,20,13.3
AK,1981,28,10.0
AK,1979,14,11.7
AK,1977,28,6.7
AK,1975,5,15.0
AZ,2018,1,40.0
AZ,2017,1,40.0
AZ,2016,3,35.6
AZ,2015,3,35.6
AZ,2014,3,35.6
AZ,2013,3,35.6
AZ,2012,4,33.3
AZ,2011,3,34.4
AZ,2010,7,32.2
AZ,2009,9,31.1
AZ,2008,6,34.4
AZ,2007,6,33.3
AZ,2006,3,33.3
AZ,2005,3,33.3
AZ,2004,14,27.8
AZ,2003,13,27.8
AZ,2002,2,35.6
AZ,2001,2,35.6
AZ,2000,2,35.6
AZ,1999,3,35.6
AZ,1998,2,36.7
AZ,1997,2,37.8
AZ,1996,4,30.0
AZ,1995,4,30.0
AZ,1994,3,33.3
AZ,1993,2,33.3
AZ,1992,1,34.4
AZ,1991,1,34.4
AZ,1990,4,30.0
AZ,1989,4,30.0
AZ,1988,6,23.3
AZ,1987,6,23.3
AZ,1986,8,20.0
AZ,1985,8,20.0
AZ,1984,8,21.1
AZ,1983,8,21.1
AZ,1981,8,18.9
AZ,1979,4,18.9
AZ,1977,3,17.8
AZ,1975,2,20.0
AR,2018,40,18.5
AR,2017,40,18.5
AR,2016,36,20.0
AR,2015,36,20.0
AR,2014,42,17.0
AR,2013,41,17.0
AR,2012,31,22.2
AR,2011,31,22.2
AR,2010,28,23.0
AR,2009,28,23.0
AR,2008,29,20.7
AR,2007,29,20.7
AR,2006,39,17.0
AR,2005,38,16.3
AR,2004,41,16.3
AR,2003,40,16.3
AR,2002,45,13.3
AR,2001,45,13.3
AR,2000,43,15.6
AR,1999,42,14.8
AR,1998,35,17.0
AR,1997,35,17.0
AR,1996,43,12.6
AR,1995,42,12.6
AR,1994,45,11.1
AR,1993,45,10.4
AR,1992,46,7.4
AR,1991,46,7.4
AR,1990,45,7.4
AR,1989,45,7.4
AR,1988,46,6.7
AR,1987,45,6.7
AR,1986,42,7.4
AR,1985,43,7.4
AR,1984,47,5.2
AR,1983,46,5.2
AR,1981,48,3.7
AR,1979,47,3.0
AR,1977,47,2.2
AR,1975,47,2.2
CA,2018,29,24.2
CA,2017,30,22.5
CA,2016,22,25.0
CA,2015,20,25.8
CA,2014,17,26.7
CA,2013,19,26.7
CA,2012,13,28.3
CA,2011,12,28.3
CA,2010,17,26.7
CA,2009,16,27.5
CA,2008,17,27.5
CA,2007,16,27.5
CA,2006,12,30.8
CA,2005,10,30.8
CA,2004,6,30.0
CA,2003,6,30.0
CA,2002,13,28.3
CA,2001,13,28.3
CA,2000,15,25.8
CA,1999,15,25.8
CA,1998,24,21.7
CA,1997,24,22.5
CA,1996,26,20.0
CA,1995,26,20.8
CA,1994,19,24.2
CA,1993,20,22.5
CA,1992,25,18.3
CA,1991,25,17.5
CA,1990,27,15.8
CA,1989,27,15.8
CA,1988,30,14.2
CA,1987,30,14.2
CA,1986,30,12.5
CA,1985,30,12.5
CA,1984,29,11.7
CA,1983,30,11.7
CA,1981,28,10.0
CA,1979,23,9.2
CA,1977,39,5.0
CA,1975,46,2.5
CO,2018,4,38.0
CO,2017,4,37.0
CO,2016,1,42.0
CO,2015,1,42.0
CO,2014,1,41.0
CO,2013,2,41.0
CO,2012,1,40.0
CO,2011,1,41.0
CO,2010,1,38.0
CO,2009,3,37.0
CO,2008,2,36.0
CO,2007,4,34.0
CO,2006,8,32.0
CO,2005,7,33.0
CO,2004,3,34.0
CO,2003,2,33.0
CO,2002,4,34.0
CO,2001,4,34.0
CO,2000,4,34.0
CO,1999,4,34.0
CO,1998,3,35.0
CO,1997,3,35.0
CO,1996,3,31.0
CO,1995,3,31.0
CO,1994,2,35.0
CO,1993,3,35.0
CO,1992,5,31.0
CO,1991,6,31.0
CO,1990,6,29.0
CO,1989,5,29.0
CO,1988,3,28.0
CO,1987,3,28.0
CO,1986,4,24.0
CO,1985,4,24.0
CO,1984,2,25.0
CO,1983,2,25.0
CO,1981,4,23.0
CO,1979,2,21.0
CO,1977,7,14.0
CO,1975,4,16.0
CT,2018,21,27.3
CT,2017,19,27.8
CT,2016,16,27.8
CT,2015,15,28.3
CT,2014,13,29.4
CT,2013,11,29.4
CT,2012,9,29.9
CT,2011,9,29.9
CT,2010,8,32.1
CT,2009,8,31.6
CT,2008,16,28.3
CT,2007,15,28.3
CT,2005,14,29.4
CT,2004,7,29.4
CT,2003,8,29.4
CT,2002,9,29.9
